企業名,事業所名,市区郡,取引先ID
,ほっぺるランド中葛西,江戸川区,364560590
,ベストリハナーシングホーム瑞江,江戸川区,358797816
,平井皮膚科クリニック,江戸川区,356551211
,ライブラリ葛西,江戸川区,338690968
,としのや,江戸川区,336808609
,しのぶ寿司,江戸川区,336785813
,江戸千,江戸川区,336780971
,秀ちゃん,江戸川区,336556026
,さるかに,江戸川区,336551305
,株式会社田辺電気設計事務所,江戸川区,336532366
,オーク,守口市,111
,バーガーキング 布施駅前店,東大阪市,111
,フラワーおはぎ専門店 oh!huggy!! 寝屋川店,寝屋川市,111
,アサイー工房 寝屋川店,寝屋川市,111
,SAHANJI,門真市,111
,Café201,豊中市,111
,びっくりんご 新小岩店,葛飾区,111
,SLÖW COFFEE,守口市,111
,創作おばんざいとお酒 三本松,大阪市東淀川区,111
,張記天津豚まん,豊中市,111
,배고파,守口市,111
ーーーーー,かばち,佐賀市,0952291881
,弥五郎,門真市,09099974217
,ナイスアイディア,江東区,09099529924
鎌田蓮,ゼロイチ出張買取センター,,09098957016
,水のや,江東区,09098359415
,HAJIME BAR,西東京市,09098118005
,マンナム チキン,大阪市東住吉区,09097158333
,cafe祇園家,門真市,09097041089
,angolo1.3,堺市堺区,09097009328
ー,ENIXInexus株式会社,土浦市,09093634736
ー,株式会社ベターシングス,板橋区,09093242358
,スパイスkitchen お出汁とスパイス時々ナッツ,吹田市,09092647017
,鰻の成瀬 門真店,門真市,09092534800
中根久彰,中根久彰,,09091843069
有限会社石塚商店,関町セラー,,09091531781
,casablanca,名古屋市千種区,09091218445
,Curry cafe 7mm 近鉄長瀬駅本店,東大阪市,09091121685
,武ちゃん,東大阪市,09090585010
,cafe&bar+Sydmel,東大阪市,09090564004
ーーーーー,下村興産株式会社,和歌山市,09090400661
,おでん屋,大阪市東成区,09089882444
井上勝也,イト_インテリアデザイン,,09089482094
,Habit K,堺市堺区,09088288110
,武蔵 本店,東大阪市,09088220634
,チャンポン一平,堺市堺区,08070211455
,韓国ダイニング ソウルプルコギ,名古屋市千種区,08070044801
,たこ寿 星が丘テックランド店,名古屋市千種区,08069939642
,スガキヤ 高辻フィール店,名古屋市昭和区,08069939530
,カフェ ママス,名古屋市昭和区,08069532787
,Ri Mart,名古屋市千種区,08069236789
,金ちゃんの台所,横浜市南区,08068462552
,鮨 和璃,江東区,08067360028
,オカスバカレー,葛飾区,08066590857
,居酒屋 嵐山 二号店,江戸川区,08066228792
,ソウル,横浜市南区,08065881155
ー,株式会社ImBress,川崎市多摩区,08065077593
,尾道焼 みっか,吹田市,08064627546
,どうもどうも家,葛飾区,08064081010
,くれーふ゜くれーふ゜,守口市,08063866368
,てら 三鷹店,武蔵野市,08063332929
,Bar アルパカ 本店,東大阪市,08063296437
,串揚げ ファットファミリー,大阪市城東区,08062280471
,ソウルキムチ 妙心,門真市,08061072624
,松屋 守口佐太中町店,守口市,08060892234
,松のや 守口佐太中町店,守口市,08060892234
,松のや 東大阪川田店,東大阪市,08059858159
,松屋 東淀川菅原店,大阪市東淀川区,08059281135
,松屋 大国町店,大阪市浪速区,08059281098
,松屋 南津守店,大阪市西成区,08059281083
,松屋 阿倍野店,大阪市阿倍野区,08059281051
,松屋 針中野店,大阪市東住吉区,08059281050
,松屋 江戸川店,江戸川区,08059280824
,松屋 王子1丁目店,北区,08059280693
,来人,大阪市旭区,08058430110
,BAR el camino,東大阪市,08057605129
,ラトリエ,江東区,08056811810
,Shisha Room UZU,江戸川区,08054736453
,イイエンコーヒー,東大阪市,08053663036
,串かつ雄山,大阪市平野区,08053631950
,天ぷら酒場マコト屋,吹田市,08053618817
,ダイアモンドミャンマー,江東区,08053231969
,ふくちゃん,大阪市住吉区,08053179316
,とくまる,守口市,08053141088
,BAR 石崎,江戸川区,08050594151
,ビスミッラー ハラールスーパーマーケット 田端新町店,北区,08048648844
,ざいる,東大阪市,08048293100
,Blancheur,堺市堺区,08048285531
,ミンチとごはん ダブル・ダブル,大阪市東住吉区,08047034310
,ベックスコーヒーショップ 王子店,北区,08043658187
,台湾屋台 阿Ｑ麺館,江東区,08043410066
,粋 立川駅前店,立川市,08042935888
,鶏PONPAN,守口市,08042410475
,カイトレストラン,東大阪市,08042378668
,まんまのぶたまん,大阪市平野区,08042360518
,CAFE DE LIS BLANC 川名店,名古屋市昭和区,08041600076
,ダバ☆クニタチ,国分寺市,08041122013
,CHHABI'S MASALA CURRY,立川市,08040806488
,土佐料理一色,名古屋市千種区,08040300139
,おにぎり屋 さんかく,堺市堺区,08040153009
,至福,葛飾区,08040064769
,居酒屋ばぶ,門真市,08038594735
,クローバー,門真市,08038593166
,さくらカフェ,吹田市,08038483927
,博多もつ鍋 久よし,大阪市城東区,08038326386
,沖縄家庭料理 琉華,東大阪市,08037992996
,池下 成る,名古屋市千種区,08037371176
,すきやきやきす,名古屋市昭和区,08036818217
